variant,preview - minimal,stable - minimal,stable - low,stable - medium,stable - high
append_order,0.0,0.0,112.7,627.7,1688.6
flat_alpha,0.0,0.0,112.6,907.5,1751.5
alpha_nested,0.0,0.0,113.2,665.3,1671.4
grouped_by_type,0.0,0.0,111.3,629.0,1618.9
ui_contract,0.0,0.0,112.7,658.1,1613.7
nested_narrative,0.0,0.0,111.8,591.4,1659.2
